# VERTIKAAL 4 M.C.ECOS 8 VERTIKAAL
* 09-05-2025 07:55:52
#X: 46567 - Y: 369383
#00 DONARLOCATIE: KTS-04
#01 MEETPUNT: 1
#08 WAARNEMER(S): Bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1020>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  46567  369383 20250509 75600    0.94    0.00   15.87   8.12 9.08      94    8.68     950    5.98    3322    0.91    2.96
  46567  369383 20250509 75626    2.00    0.00   15.90   8.11 9.07      94    8.71     953    6.00    3332    0.88    3.04
  46567  369383 20250509 75639    3.01   10.88   15.93   8.11 9.06      94    8.76     958    6.03    3351    0.87    3.08
  46567  369383 20250509 75652    4.03   10.51   15.97   8.11 9.04      94    8.89     971    6.12    3399    0.97    3.02
  46567  369383 20250509 75709    4.98    9.56   16.02   8.11 9.01      94    9.18    1001    6.32    3515    0.91    3.02
  46567  369383 20250509 75728    5.98    8.13   16.04   8.10 9.00      94    9.39    1024    6.48    3600    0.90    3.09
  46567  369383 20250509 75747    7.07    7.05   16.05   8.10 8.98      94    9.70    1058    6.71    3729    0.95    3.06
  46567  369383 20250509 75809    8.03    6.06   16.03   8.10 8.99      95   10.36    1130    7.21    4007    0.93    2.98
  46567  369383 20250509 75822    9.05    5.03   16.01   8.10 8.99      95   10.65    1162    7.43    4130    0.75    2.90
  46567  369383 20250509 75837   10.00    4.08   16.00   8.10 9.00      95   10.78    1177    7.53    4187    0.83    2.98
  46567  369383 20250509 75853   11.02    3.09   15.91   8.09 8.96      94   11.46    1253    8.05    4482    0.74    3.16
  46567  369383 20250509 75931   12.03    1.99   15.65   8.06 8.54      91   13.80    1518    9.91    5524    0.64    3.59
  46567  369383 20250509 75950   12.99    0.95   15.45   8.06 8.50      91   15.94    1762   11.65    6501    0.61    3.93
