# VERTIKAAL 8 M.C.ECOS 8 VERTIKAAL
* 09-05-2025 08:59:43
#X: 44256 - Y: 359089
#00 DONARLOCATIE: KTS-08
#01 MEETPUNT: 1
#08 WAARNEMER(S): Bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1020>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  44256  359089 20250509 85951    1.01   12.50   15.32   8.07 8.88      90    6.34     702    4.32    2399    1.95    5.35
  44256  359089 20250509 90018    1.95    0.75   15.32   8.07 8.89      90    6.34     702    4.33    2400    1.80    5.52
  44256  359089 20250509 90032    3.02   10.48   15.32   8.07 8.89      91    6.34     702    4.32    2400    1.88    5.24
  44256  359089 20250509 90047    3.99    9.51   15.33   8.07 8.88      90    6.35     703    4.33    2404    1.75    5.46
  44256  359089 20250509 90120    4.99    8.59   15.38   8.06 8.77      90    6.49     718    4.43    2459    1.76    5.66
  44256  359089 20250509 90137    6.01    7.49   15.36   8.06 8.77      89    6.44     714    4.40    2441    1.64    5.83
  44256  359089 20250509 90156    7.03    6.45   15.35   8.06 8.79      90    6.40     709    4.37    2426    1.77    5.42
  44256  359089 20250509 90225    8.06    5.44   15.47   8.05 8.67      89    6.94     767    4.75    2638    1.69    6.13
  44256  359089 20250509 90244    9.05    4.16   15.51   8.04 8.63      89    7.26     802    4.98    2766    1.49    6.36
  44256  359089 20250509 90316   10.08    2.95   15.64   8.03 8.40      87    8.95     985    6.21    3452    1.04    6.03
  44256  359089 20250509 90340   11.07    2.06   15.65   8.03 8.34      87    9.24    1016    6.43    3572    1.01    6.39
  44256  359089 20250509 90405   12.02    0.90   15.68   8.02 8.26      86    9.94    1093    6.95    3865    0.92    7.36
