# VERTIKAAL 5 Milieucontainer
* 12-12-2025 11:00:24
#X: 72573 - Y: 408732
#00 DONARLOCATIE: ZTS-12
#08 WAARNEMER(S): bernaards
@ par4.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   GELBH  GELDHD  SALNTT     CL- CHLFRFU  TROEBHFNU  PHYCOUGL
  72573  408733 20251212 110025    0.94   10.66    7.60   8.15    1.21     162    0.93     412    0.56       0.85     -0.77
  72573  408733 20251212 110031    1.97    9.53    7.60   8.15    1.22     163    0.93     414    0.51       0.75     -0.57
  72573  408733 20251212 110033    3.02    8.33    7.60   8.15    1.22     163    0.93     414    0.51       0.87     -0.65
  72573  408733 20251212 110035    4.16    7.21    7.60   8.15    1.22     163    0.93     414    0.50       0.88     -0.73
  72573  408733 20251212 110037    5.06    5.92    7.61   8.15    1.22     163    0.93     415    0.59       0.75     -0.67
  72573  408733 20251212 110038    5.96    5.25    7.61   8.15    1.22     164    0.93     416    0.47       0.75     -0.66
  72573  408733 20251212 110040    7.10    4.09    7.61   8.15    1.23     165    0.94     420    0.48       0.86     -0.71
  72573  408733 20251212 110042    8.13    3.04    7.62   8.16    1.24     165    0.94     422    0.48       0.78     -0.78
  72573  408733 20251212 110044    9.08    2.01    7.61   8.15    1.24     166    0.95     425    0.40       0.69     -0.72
  72573  408733 20251212 110046   10.05    1.07    7.55   8.14    1.46     195    1.12     525    0.29       0.79     -0.74
  72573  408733 20251212 110050   10.91    0.27    7.45   8.06    1.73     233    1.35     657    0.19       0.89     -0.79
