X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TROEBHFNU;CHLFRFU;GELBH;Echms
51.11765475;3.754175295;20250702;100113;1.07;23;7.91;88.11;7.37;2608.97;-0.28;4.71;763.97;5.52;4.39;8.13;-999
51.11765475;3.754175295;20250702;100131;2.06;22.83;7.88;84.31;7.07;2692.2;-0.54;4.86;786.47;5.79;4.08;8.34;-999
51.11765475;3.754175295;20250702;100146;3.11;22.72;7.86;81.53;6.84;2870.03;-0.61;5.18;834.49;6.17;3.86;8.83;-999
51.11765475;3.754175295;20250702;100204;4.06;22.71;7.86;79.43;6.65;3064;-0.53;5.53;886.62;7.28;4.12;9.38;-999
51.11765475;3.754175295;20250702;100220;4.99;22.71;7.87;79.26;6.63;3077.36;-0.66;5.55;890.2;7.68;4.08;9.42;-999
51.11765475;3.754175295;20250702;100237;6.01;22.29;7.82;73.54;6.18;3388.92;-0.78;6.11;972.97;7.09;3.3;10.21;-999
51.11765475;3.754175295;20250702;100253;7.02;22.15;7.81;69.29;5.83;3505.21;-0.68;6.32;1003.68;7.35;2.98;10.5;-999
51.11765475;3.754175295;20250702;100310;8.05;21.97;7.79;64.39;5.43;3661.06;-0.84;6.6;1044.68;8.57;2.69;10.89;-999
51.11765475;3.754175295;20250702;100329;9.08;21.84;7.79;64.23;5.42;3827.23;-0.9;6.89;1088.25;6.39;2.31;11.31;-999
51.11765475;3.754175295;20250702;100352;10.05;21.7;7.78;61.28;5.18;3927.66;-0.78;7.07;1114.44;7.44;2.2;11.55;-999
51.11765475;3.754175295;20250702;100408;11.03;21.62;7.76;57.38;4.86;3968.24;-1.02;7.15;1124.98;7.89;1.93;11.64;-999
51.11765475;3.754175295;20250702;100438;12.02;21.43;7.74;51.27;4.35;4205.48;-0.94;7.57;1186.63;9.3;1.6;12.23;-999
51.11765475;3.754175295;20250702;100511;12.96;21.25;7.7;45.29;3.85;4366.87;-0.91;7.86;1228.31;10.16;1.5;12.61;-999
