X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TROEBHFNU;CHLFRFU;GELBH;Echms
51.26809669;3.838180473;20250702;83538;0.99;22.97;8.03;111.61;9.2;3951.67;-0.45;7.12;1121.76;3.98;4.7;11.93;-999
51.26809669;3.838180473;20250702;83557;2.04;22.95;8.03;110.69;9.13;3959.95;-0.5;7.13;1123.91;4.09;4.41;11.95;-999
51.26809669;3.838180473;20250702;83614;3.06;22.94;8.02;109.14;9;3970.49;-0.66;7.15;1126.65;4.12;4.4;11.97;-999
51.26809669;3.838180473;20250702;83629;3.98;22.94;8.01;108.52;8.95;3976.69;-0.54;7.16;1128.27;4.13;4.4;11.99;-999
51.26809669;3.838180473;20250702;83646;5.02;22.91;8.01;107.58;8.87;4037.35;-0.55;7.27;1144.09;4.28;4.68;12.15;-999
51.26809669;3.838180473;20250702;83706;5.95;22.88;8;106.39;8.78;4093.38;-0.61;7.37;1158.68;4.27;4.55;12.3;-999
51.26809669;3.838180473;20250702;83724;7;22.85;8;106;8.74;4123.22;-0.6;7.43;1166.44;4.44;4.66;12.38;-999
51.26809669;3.838180473;20250702;83744;7.98;22.79;7.99;104.63;8.63;4295.56;-0.62;7.73;1211.18;4.63;4.05;12.83;-999
51.26809669;3.838180473;20250702;83804;9.01;22.77;7.99;103.49;8.53;4375.13;-0.66;7.88;1231.78;4.84;3.88;13.05;-999
51.26809669;3.838180473;20250702;83831;11.03;22.57;7.97;101.05;8.28;5351.14;-0.84;9.62;1481.54;3.82;2.88;15.63;-999
51.26809669;3.838180473;20250702;83849;12.05;22.52;7.97;101.38;8.29;5572.28;-0.8;10.01;1537.43;3.8;2.79;16.2;-999
51.26809669;3.838180473;20250702;83908;13.02;22.27;7.94;99.22;8.09;6349.4;-0.74;11.4;1731.8;3.93;2.36;18.16;-999
