X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TROEBHFNU;CHLFRFU;GELBH;Echms
51.31713612;3.825931876;20250702;75239;0.96;23.01;7.98;110.25;9.04;4423.11;-0.54;7.96;1244.4;3.2;3.62;13.24;-999
51.31713612;3.825931876;20250702;75256;1.88;23.01;7.98;109.84;9.01;4428.36;-0.69;7.97;1245.76;3.13;3.44;13.26;-999
51.31713612;3.825931876;20250702;75317;3.01;23.01;7.98;109.61;8.99;4437.87;-0.75;7.99;1248.22;3.02;3.49;13.29;-999
51.31713612;3.825931876;20250702;75342;3.99;23.02;7.98;109.53;8.98;4462.29;-0.71;8.03;1254.54;3.06;3.73;13.36;-999
51.31713612;3.825931876;20250702;75406;5.11;23.05;7.98;110.36;9.03;4547.72;-0.61;8.19;1276.62;3.12;4.2;13.6;-999
51.31713612;3.825931876;20250702;75432;6.04;23.06;7.98;110.79;9.06;4562.79;-0.48;8.21;1280.52;3.22;4.23;13.64;-999
51.31713612;3.825931876;20250702;75457;7.09;23.05;7.98;110.87;9.07;4604;-0.76;8.29;1291.13;3.34;4.16;13.76;-999
51.31713612;3.825931876;20250702;75520;7.97;23.05;7.98;110.85;9.06;4635.2;-0.62;8.34;1299.17;3.43;4.23;13.84;-999
51.31713612;3.825931876;20250702;75548;9.05;23.08;7.98;111.86;9.12;4838.75;-0.59;8.71;1351.46;3.4;4.08;14.41;-999
51.31713612;3.825931876;20250702;75620;9.98;23.13;7.97;113.28;9.19;5220.77;-0.77;9.39;1449.01;3.12;3.66;15.46;-999
51.31713612;3.825931876;20250702;75637;11.07;22.93;7.95;113.04;9.15;5798.8;-0.71;10.42;1594.87;3.36;3.59;16.95;-999
51.31713612;3.825931876;20250702;75659;12;22.71;7.94;111.4;8.98;6580.69;-0.79;11.81;1789.67;3.61;3.12;18.93;-999
51.31713612;3.825931876;20250702;75715;13.11;22.38;7.91;110.25;8.82;8006.35;-0.74;14.34;2138.1;3.5;2.63;22.47;-999
