# VERTIKAAL 2 M.C.ECOS 8 VERTIKAAL
* 04-04-2025 08:43:31
#X: 71500 - Y: 392060
#00 DONARLOCATIE: ZTS-34
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaaards
@ par2.dat
## TLU        oC <-->
## LUCHTDK    hPa <1021>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  71500  392060 20250404 84340    1.03   19.32   10.81   8.40 11.2     101    1.26     156    0.88     389    1.29    1.56   11.17
  71500  392060 20250404 84404    2.03   18.22   10.81   8.40 11.2     102    1.26     156    0.88     389    1.35    1.72   11.19
  71500  392060 20250404 84424    3.11   16.55   10.81   8.40 11.2     101    1.26     156    0.88     389    1.36    1.56   11.17
  71500  392060 20250404 84441    3.99   15.56   10.76   8.39 11.2     101    1.26     156    0.88     389    1.17    1.52   11.17
  71500  392060 20250404 84455    4.98   14.46   10.70   8.38 11.2     101    1.25     155    0.88     386    1.10    1.60   11.15
  71500  392060 20250404 84510    5.99   13.39   10.67   8.37 11.2     101    1.25     155    0.88     386    1.02    1.53   11.12
  71500  392060 20250404 84527    6.98   12.39   10.67   8.37 11.1     100    1.25     155    0.88     386    1.09    1.57   11.10
  71500  392060 20250404 84548    8.00   11.34   10.64   8.35 11.1     100    1.25     155    0.88     385    0.94    1.58   11.03
  71500  392060 20250404 84608    9.01   10.48   10.44   8.36 11.0      99    1.25     156    0.88     389    0.99    1.58   10.99
  71500  392060 20250404 84625   10.01    9.74   10.34   8.36 11.0      99    1.26     157    0.89     392    0.97    1.64   11.00
  71500  392060 20250404 84642   11.09    8.83   10.23   8.35 11.0      98    1.26     158    0.90     398    0.91    1.58   10.98
  71500  392060 20250404 84737   12.02    8.21    9.97   8.31 10.8      96    1.31     165    0.94     420    1.00    2.72   10.75
  71500  392060 20250404 84828   13.09    6.91    9.76   8.27 10.5      93    1.35     170    0.97     440    0.75    4.37   10.51
  71500  392060 20250404 84934   13.96    5.76    9.46   8.20 10.2      89    1.41     180    1.03     474    0.75    7.03   10.16
  71500  392060 20250404 85025   14.98    5.23    9.41   8.13 9.88      86    1.69     215    1.24     596    0.81    5.53    9.81
  71500  392060 20250404 85131   15.98    4.00    8.39   8.08 9.33      80    2.04     267    1.56     762    0.84    3.78    9.26
  71500  392060 20250404 85311   16.88    3.01    7.57   8.02 8.31      70    2.22     297    1.75     866    0.77    2.49    8.24
  71500  392060 20250404 85418   18.03    1.40    7.53   8.01 7.90      66    2.52     338    2.00    1008    0.65    2.33    7.84
  71500  392060 20250404 85547   18.92    1.14    7.57   7.83 6.14      52    3.12     417    2.50    1285    0.68    2.66    6.09
