# VERTIKAAL 3 M.C.ECOS 8 VERTIKAAL
* 03-04-2025 09:04:54
#X: 86060 - Y: 411520
#00 DONARLOCATIE: ZTS-01
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaaards
@ par3.dat
## TLU        oC <-->
## LUCHTDK    hPa <1022>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  86060  411520 20250403 90506    0.89    6.18   10.77   8.33 10.9      98    0.68      84    0.46     157    0.60    3.04   10.82
  86060  411520 20250403 90548    1.98    5.23   10.78   8.33 10.9      98    0.68      83    0.46     156    0.59    2.94   10.82
  86060  411520 20250403 90713    2.96   10.58   10.82   8.33 10.9      98    0.67      82    0.45     153    0.56    3.33   10.81
  86060  411520 20250403 90755    4.04   10.36   10.82   8.33 10.8      98    0.67      82    0.45     153    0.66    3.09   10.79
  86060  411520 20250403 90825    5.03    9.16   10.78   8.33 10.9      98    0.68      84    0.46     158    0.50    3.17   10.80
  86060  411520 20250403 90843    6.03    8.25   10.79   8.33 10.9      98    0.68      84    0.46     158    0.60    3.09   10.80
  86060  411520 20250403 90906    7.01    7.11   10.77   8.33 10.9      98    0.68      84    0.47     159    0.51    3.02   10.81
  86060  411520 20250403 90923    8.05    5.64   10.72   8.32 10.9      98    0.70      86    0.48     164    0.54    2.71   10.80
  86060  411520 20250403 90941    8.99    4.63   10.63   8.32 10.9      98    0.73      90    0.50     175    0.58    2.46   10.83
  86060  411520 20250403 90957   10.01    3.65   10.60   8.32 10.9      98    0.74      91    0.50     179    0.87    2.49   10.85
  86060  411520 20250403 91011   11.06    2.49   10.60   8.32 10.9      98    0.74      92    0.51     181    0.59    2.60   10.85
  86060  411520 20250403 91024   12.09    1.48   10.58   8.33 10.9      98    0.75      93    0.51     183    0.47    2.77   10.86
  86060  411520 20250403 91038   13.04    0.84   10.53   8.33 10.9      98    0.77      95    0.53     191    0.50    2.72   10.89
