# VERTIKAAL 9 M.C.ECOS 8 VERTIKAAL
* 06-02-2025 12:55:14
#X: 74430 - Y: 387826
#00 DONARLOCATIE: ZTS-36
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par9.dat
## TLU        oC <-->
## LUCHTDK    hPa <1043>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <7>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHYCOUG
  74430  387826 20250206 125523    1.03    8.66    4.26   8.24 12.8      96    0.94     137    0.78     326    0.85    3.44   -0.56
  74430  387826 20250206 125538    2.02    7.78    4.25   8.23 12.8      96    0.94     137    0.78     325    0.87    3.48   -0.56
  74430  387826 20250206 125604    2.95    7.13    4.24   8.23 12.8      96    0.94     137    0.78     325    0.86    3.46   -0.71
  74430  387826 20250206 125659    3.98    6.85    4.24   8.23 12.8      96    0.94     137    0.78     326    0.88    3.33   -0.60
  74430  387826 20250206 125810    5.03    2.79    4.23   8.23 12.8      96    0.94     137    0.78     326    0.83    3.48   -0.60
  74430  387826 20250206 125845    5.97    9.78    4.23   8.23 12.8      96    0.94     137    0.78     326    0.89    3.42   -0.75
  74430  387826 20250206 125915    7.02    9.98    4.22   8.23 12.8      96    0.94     137    0.78     326    0.92    3.61   -0.58
  74430  387826 20250206 125931    7.97    9.28    4.22   8.23 12.8      96    0.94     137    0.78     325    0.88    3.36   -0.62
  74430  387826 20250206 125958    9.04    7.53    4.22   8.23 12.8      96    0.94     137    0.78     326    0.86    3.59   -0.54
  74430  387826 20250206 130042    9.95    5.93    4.23   8.24 12.8      96    0.94     137    0.78     325    0.82    3.60   -0.63
  74430  387826 20250206 130103   10.99    4.39    4.23   8.24 12.8      96    0.94     137    0.78     325    0.93    3.44   -0.57
  74430  387826 20250206 130120   12.03    3.95    4.22   8.24 12.8      96    0.94     137    0.78     326    0.92    3.62   -0.52
  74430  387826 20250206 130134   13.02    3.70    4.22   8.24 12.8      96    0.95     139    0.79     330    0.83    4.15   -0.63
  74430  387826 20250206 130148   13.93    3.08    4.23   8.23 12.8      96    0.96     140    0.79     334    0.79    4.77   -0.69
  74430  387826 20250206 130222   15.07    2.24    4.28   8.23 12.6      95    1.04     152    0.87     377    0.71    4.11   -0.65
  74430  387826 20250206 130250   15.94    1.41    4.43   8.20 12.1      91    1.48     215    1.25     596    0.77    5.84   -0.63
