# VERTIKAAL 6 M.C.ECOS 8 VERTIKAAL
* 07-02-2025 10:42:27
#X: 71700 - Y: 409500
#00 DONARLOCATIE: ZTS-16
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par6.dat
## TLU        oC <-->
## LUCHTDK    hPa <1028>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHYCOUG
  71700  409500 20250207 104237    1.09    0.00    4.01   8.28 12.8      97    0.90     132    0.75     308    0.99    2.32   -0.53
  71700  409500 20250207 104252    1.94   20.24    4.01   8.28 12.9      97    0.89     132    0.75     306    0.94    2.29   -0.66
  71700  409500 20250207 104309    3.05   15.84    4.01   8.28 12.9      98    0.90     132    0.75     308    0.99    2.32   -0.61
  71700  409500 20250207 104330    4.03   18.68    4.01   8.28 12.9      98    0.89     132    0.75     306    1.03    2.35   -0.59
  71700  409500 20250207 104345    4.98   17.84    4.02   8.27 12.9      98    0.90     133    0.75     309    1.06    2.42   -0.65
  71700  409500 20250207 104404    5.94   16.89    4.02   8.27 12.9      98    0.90     133    0.75     309    0.99    2.32   -0.55
  71700  409500 20250207 104418    6.99   15.88    4.03   8.27 12.9      98    0.92     136    0.77     320    0.94    2.23   -0.50
  71700  409500 20250207 104432    8.07    0.00    4.05   8.27 12.8      98    0.95     139    0.79     332    0.98    2.37   -0.42
  71700  409500 20250207 104446    9.08   13.84    4.06   8.27 12.8      97    0.97     142    0.81     342    0.93    2.34   -0.44
  71700  409500 20250207 104515   10.10    0.00    4.11   8.26 12.7      97    1.02     149    0.85     367    0.89    2.23   -0.64
  71700  409500 20250207 104557   11.13    0.00    4.34   8.20 12.3      95    1.30     190    1.09     506    0.76    2.20   -0.68
  71700  409500 20250207 104640   11.99   10.88    4.59   8.15 11.9      92    1.41     204    1.18     558    0.70    2.15   -0.80
  71700  409500 20250207 104721   12.98    9.71    4.62   8.13 11.6      90    1.43     206    1.20     565    0.75    2.04   -0.76
  71700  409500 20250207 104740   13.99    8.66    4.63   8.13 11.6      90    1.47     212    1.23     586    0.69    2.20   -0.76
  71700  409500 20250207 104807   15.05    7.66    4.50   8.15 11.7      90    1.50     218    1.26     604    0.74    2.28   -0.63
  71700  409500 20250207 104837   16.03    6.55    4.40   8.17 11.9      92    1.50     218    1.27     607    0.73    2.22   -0.71
  71700  409500 20250207 104851   16.92    5.69    4.38   8.17 12.0      92    1.51     221    1.28     615    0.73    2.24   -0.60
  71700  409500 20250207 104938   18.02    4.45    4.40   8.13 11.2      86    1.53     223    1.29     622    0.74    2.32   -0.65
  71700  409500 20250207 105009   19.02    3.49    4.49   8.06 11.2      86    1.58     229    1.33     644    0.76    2.23   -0.66
  71700  409500 20250207 105043   20.02    2.44    4.52   8.02 10.8      83    1.58     230    1.34     647    0.61    2.24   -0.72
  71700  409500 20250207 105134   21.02    1.43    4.60   7.93 10.1      78    1.60     232    1.35     655    0.66    2.12   -0.72
  71700  409500 20250207 105225   21.88    0.80    4.63   7.90 9.48      73    1.61     233    1.36     658    0.67    2.26   -0.74
