# VERTIKAAL 3 M.C.ECOS 8 VERTIKAAL
* 06-02-2025 10:00:58
#X: 86060 - Y: 411520
#00 DONARLOCATIE: ZTS-01
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par3.dat
## TLU        oC <-->
## LUCHTDK    hPa <1043>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <5>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHYCOUG
  86060  411520 20250206 100106    1.05   11.78    4.53   8.04 12.1      92    0.44      64    0.35     106    1.02    4.16   -0.61
  86060  411520 20250206 100144    1.89   10.78    4.53   8.03 12.1      92    0.44      64    0.35     106    0.87    4.07   -0.62
  86060  411520 20250206 100203    2.94    9.69    4.53   8.02 12.1      92    0.44      64    0.35     106    0.99    4.15   -0.49
  86060  411520 20250206 100233    3.97    8.78    4.52   8.02 12.1      92    0.44      64    0.35     106    0.94    3.97   -0.58
  86060  411520 20250206 100304    5.05    7.68    4.52   8.03 12.2      92    0.44      65    0.35     107    0.92    4.12   -0.62
  86060  411520 20250206 100321    6.01    6.50    4.52   8.03 12.2      92    0.44      65    0.35     107    0.97    4.23   -0.60
  86060  411520 20250206 100337    6.99    5.78    4.52   8.03 12.2      92    0.44      65    0.35     107    0.87    4.16   -0.64
  86060  411520 20250206 100359    8.11    4.64    4.52   8.04 12.2      92    0.45      65    0.36     108    0.92    4.15   -0.60
  86060  411520 20250206 100424    9.09    3.69    4.53   8.05 12.2      92    0.45      65    0.36     108    0.89    4.34   -0.57
  86060  411520 20250206 100439   10.00    2.69    4.53   8.05 12.2      92    0.45      65    0.36     109    0.82    4.28   -0.72
  86060  411520 20250206 100459   10.96    1.64    4.54   8.05 12.2      92    0.45      66    0.36     109    0.87    4.33   -0.62
  86060  411520 20250206 100516   12.03    0.75    4.54   8.05 12.2      92    0.45      66    0.36     109    0.84    4.26   -0.68
