# VERTIKAAL 4 M.C.ECOS 8 VERTIKAAL
* 06-02-2025 10:37:13
#X: 80150 - Y: 408110
#00 DONARLOCATIE: ZTS-07
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par3.dat
## TLU        oC <-->
## LUCHTDK    hPa <1043>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHYCOUG
  80150  408110 20250206 103721    1.06   12.73    4.42   8.00 12.2      92    0.56      81    0.45     149    1.04    3.93   -0.63
  80150  408110 20250206 103735    2.00   15.33    4.44   8.02 12.2      92    0.57      83    0.46     156    0.89    4.05   -0.68
  80150  408110 20250206 103749    3.01   14.34    4.43   8.02 12.2      92    0.58      84    0.47     158    1.00    3.96   -0.67
  80150  408110 20250206 103803    4.05   13.26    4.43   8.02 12.2      92    0.58      85    0.47     160    0.96    4.09   -0.58
  80150  408110 20250206 103817    5.03   12.10    4.44   8.03 12.2      92    0.58      85    0.47     161    1.00    3.99   -0.60
  80150  408110 20250206 103851    6.02   11.19    4.43   8.03 12.3      93    0.59      86    0.48     162    0.96    3.90   -0.57
  80150  408110 20250206 103906    7.04   10.44    4.44   8.04 12.3      93    0.59      86    0.48     163    1.00    3.88   -0.61
  80150  408110 20250206 103920    8.08    9.06    4.44   8.04 12.3      93    0.59      86    0.48     165    0.99    4.04   -0.53
  80150  408110 20250206 103936    8.98    8.11    4.42   8.06 12.3      93    0.62      90    0.50     175    0.95    3.78   -0.66
  80150  408110 20250206 104002   10.00    6.88    4.41   8.12 12.3      93    0.69     101    0.57     209    0.83    3.34   -0.70
  80150  408110 20250206 104028   11.07    5.71    4.38   8.14 12.4      94    0.72     104    0.58     218    0.89    3.35   -0.69
  80150  408110 20250206 104042   11.99    4.71    4.38   8.14 12.4      94    0.73     107    0.60     226    0.86    3.55   -0.69
  80150  408110 20250206 104101   12.94    3.85    4.38   8.15 12.4      94    0.74     107    0.60     229    0.86    3.71   -0.65
  80150  408110 20250206 104119   13.94    2.68    4.39   8.15 12.4      94    0.75     109    0.61     232    0.88    3.92   -0.63
  80150  408110 20250206 104138   14.91    1.68    4.40   8.16 12.5      94    0.76     111    0.62     239    0.87    3.66   -0.69
  80150  408110 20250206 104153   16.09    0.00    4.42   8.17 12.5      94    0.77     112    0.63     242    0.78    3.69   -0.73
