X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TROEBHFNU;CHLFRFU;GELBH;Echms
51,40650667;4,238251667;20250626;101110;1;22,58;8,17;86,84;7,41;848,51;-0,07;1,69;292,05;16,49;3,6;3,08;3
51,40648;4,238258333;20250626;101114;2;22,57;8,17;86,93;7,42;833,28;-0,05;1,66;287,66;13,49;3,48;3,03;4,16
51,40645667;4,238255;20250626;101118;3;22,58;8,18;87;7,43;850,49;-0,07;1,69;292,63;12,37;3,33;3,09;2,97
51,40642;4,238265;20250626;101124;4;22,59;8,17;87,01;7,43;861,65;-0,07;1,71;295,84;13,46;3,81;3,12;1,6
51,40635;4,238281667;20250626;101134;5;22,61;8,16;86,54;7,38;903,01;0,01;1,79;307,76;18,54;4,39;3,25;0,74
