X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TURBID;CHLFRFU;GELBH;Echms
51.66159;4.195678333;20250625;81617;-100;20.64;8.69;99.12;8.84;419.78;-0.65;0.93;164.66;1.11;0.79;1.67;9.91
51.66158667;4.19572;20250625;81620;-200;20.64;8.7;99.11;8.84;419.78;-0.64;0.93;164.66;1.02;0.74;1.67;8.86
51.66158333;4.195763333;20250625;81623;-300;20.64;8.7;99.03;8.83;419.94;-0.69;0.93;164.71;1.16;0.77;1.67;7.73
51.661585;4.195786667;20250625;81626;-400;20.64;8.7;98.92;8.83;420.12;-0.67;0.93;164.76;1.11;0.8;1.67;6.69
51.66158667;4.19581;20250625;81629;-500;20.64;8.7;98.82;8.82;420.13;-0.64;0.93;164.76;1.08;0.8;1.67;5.78
51.66158833;4.195831667;20250625;81632;-600;20.64;8.7;98.72;8.81;420.49;-0.68;0.93;164.87;1.11;0.72;1.67;4.88
51.66159167;4.195848333;20250625;81635;-700;20.64;8.69;98.63;8.8;420.74;-0.67;0.93;164.94;1.12;0.78;1.67;4.09
51.66159167;4.195863333;20250625;81638;-800;20.61;8.69;98.44;8.79;427.34;-0.64;0.94;166.85;1.19;0.7;1.69;3.02
51.66159333;4.195873333;20250625;81641;-900;20.52;8.54;97.9;8.74;543.09;-0.78;1.14;200.14;1.71;0.53;2.02;2.21
51.661595;4.195878333;20250625;81646;-1000;20.79;8.5;94.34;8.37;679.45;-0.71;1.37;239;1.89;0.62;2.43;1.16
