X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TURBID;CHLFRFU;GELBH;Echms
51.51161;4.184138333;20250625;124942;-94;20.6;8.61;100.84;9.03;377.01;-0.6;0.85;152.27;0.9;0.68;1.54;17.89
51.51164;4.184053333;20250625;125009;-199;20.54;8.62;100.64;9.02;375.55;-0.61;0.85;151.85;0.94;1.07;1.54;16.67
51.51163167;4.184105;20250625;125031;-306;20.45;8.62;100.15;8.99;374.51;-0.55;0.85;151.55;1.3;1.13;1.53;15.73
51.51162167;4.184148333;20250625;125049;-407;20.41;8.62;100.05;8.99;374.27;-0.49;0.85;151.48;1.06;1.12;1.53;14.87
51.51160167;4.184176667;20250625;125109;-503;20.39;8.62;99.66;8.96;374.51;-0.54;0.85;151.55;0.98;1.12;1.53;13.88
51.511575;4.18417;20250625;125125;-600;20.17;8.61;99.07;8.94;380.71;-0.61;0.86;153.35;0.93;0.92;1.54;12.88
51.51156;4.184155;20250625;125134;-650;20.07;8.61;98.74;8.93;383.16;-0.48;0.86;154.06;0.98;0.97;1.54;12.1
51.51153667;4.184133333;20250625;125146;-692;20.04;8.61;98.54;8.92;384.28;-0.51;0.87;154.38;0.9;0.87;1.55;11.78
51.5115;4.184093333;20250625;125202;-809;19.88;8.61;98.61;8.95;391.28;-0.56;0.88;156.41;0.87;0.67;1.56;10.59
51.51146333;4.184055;20250625;125220;-903;19.56;8.53;94.72;8.65;406.82;-0.72;0.91;160.91;0.73;0.5;1.59;9.65
51.51143;4.184011667;20250625;125237;-995;18.49;8.29;85.9;8.01;503.29;-0.69;1.07;188.73;0.94;0.52;1.83;8.72
51.511395;4.183976667;20250625;125300;-1100;17.54;7.98;68.35;6.48;688.24;-0.76;1.39;241.49;1.28;0.44;2.29;7.58
51.511385;4.183958333;20250625;125319;-1205;17.57;7.95;62.44;5.91;781.71;-0.73;1.58;272.75;1.32;0.46;2.59;6.53
51.51137833;4.18396;20250625;125339;-1307;16.76;7.78;53.34;5.12;1001.5;-0.68;1.97;336.05;1.64;0.46;3.13;5.41
51.51137667;4.18396;20250625;125359;-1405;15.91;7.64;41.26;4.03;1105.3;-0.67;2.16;365.73;1.78;0.49;3.34;4.36
51.51137167;4.18397;20250625;125417;-1499;14.36;7.49;21.39;2.16;1245.38;-0.63;2.41;405.56;1.35;0.65;3.58;3.4
51.51137167;4.183983333;20250625;125435;-1601;13.06;7.43;9.84;1.02;1296.54;-0.44;2.51;420.05;0.88;0.66;3.6;2.47
51.51137333;4.184003333;20250625;125453;-1697;12.65;7.42;5.39;0.56;1310.92;-0.45;2.53;424.12;1.02;0.68;3.6;1.51
51.51137;4.184023333;20250625;125510;-1805;12.46;7.42;3.87;0.41;1630.22;-0.43;2.94;487.92;0.98;0.74;4.12;0.47
