X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TURBID;CHLFRFU;GELBH;Echms
51.50200167;4.202286667;20250625;123946;-100;20.97;8.57;98.33;8.74;358.42;-0.64;0.82;146.88;1.5;0.47;1.5;16.55
51.50200333;4.202275;20250625;123948;-200;20.92;8.58;97.83;8.7;358.97;-0.7;0.82;147.04;1.75;0.72;1.5;15.68
51.50201167;4.202231667;20250625;123951;-300;20.64;8.58;97.57;8.73;358.28;-0.61;0.82;146.83;1.65;0.61;1.49;14.71
51.50201833;4.202201667;20250625;123954;-400;20.58;8.57;97.31;8.71;359.17;-0.72;0.82;147.1;1.58;0.59;1.49;13.74
51.50202667;4.20217;20250625;123957;-500;20.48;8.56;96.74;8.68;361.47;-0.71;0.83;147.76;1.48;0.49;1.49;12.75
51.50203167;4.202136667;20250625;124000;-600;20.46;8.56;96.07;8.62;362.11;-0.74;0.83;147.95;1.61;0.5;1.49;11.64
51.50203833;4.202106667;20250625;124003;-700;20.4;8.55;95.48;8.58;364.71;-0.71;0.83;148.7;1.89;0.49;1.5;10.75
51.502045;4.20208;20250625;124006;-800;20.25;8.52;94.24;8.49;371.2;-0.71;0.84;150.59;1.96;0.48;1.51;9.73
51.50205333;4.202043333;20250625;124009;-900;19.56;8.45;91.03;8.31;401.22;-0.74;0.9;159.29;1.37;0.36;1.58;8.71
51.50205833;4.202026667;20250625;124012;-1000;18.19;8.32;86.59;8.13;455.73;-0.79;0.99;175.04;1.35;0.39;1.68;7.93
51.502065;4.20199;20250625;124015;-1100;17.18;8.15;82.62;7.91;532.76;-0.79;1.12;197.18;1.25;0.38;1.86;6.81
51.50207;4.201963333;20250625;124019;-1200;16.88;8;77.53;7.45;715.03;-0.82;1.44;249.07;1.44;0.43;2.33;5.79
51.50207667;4.201938333;20250625;124022;-1300;16.21;7.78;66.51;6.48;794.74;-0.87;1.6;276.52;2.24;0.47;2.55;4.81
51.50208333;4.201913333;20250625;124024;-1400;15.12;7.64;54.47;5.42;900.1;-0.82;1.79;306.91;2.43;0.55;2.76;3.89
51.50209;4.20189;20250625;124028;-1500;14.15;7.52;41.2;4.19;991.47;-0.81;1.96;333.18;1.74;0.67;2.93;2.71
51.502095;4.201868333;20250625;124031;-1600;13.52;7.47;34.3;3.53;1001.11;-0.64;1.98;335.94;1.46;0.75;2.91;1.78
51.50210667;4.201825;20250625;124037;-1700;12.84;7.42;21.28;2.23;996.79;-0.6;1.97;334.7;1.33;0.72;2.85;0.74
