X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TURBID;CHLFRFU;GELBH;Echms
51.66824833;4.181816667;20250625;75647;-102;20.62;8.61;97.52;8.7;456.62;-0.66;0.99;175.3;0.75;0.81;1.78;16.22
51.66799333;4.182325;20250625;75720;-204;20.65;8.63;97.41;8.69;433.32;-0.6;0.95;168.58;0.99;0.75;1.71;19.2
51.66794333;4.182451667;20250625;75737;-302;20.65;8.63;97.32;8.68;434.04;-0.66;0.95;168.78;0.97;0.68;1.71;18.46
51.66791333;4.18256;20250625;75754;-407;20.65;8.64;97.2;8.67;434.39;-0.69;0.95;168.88;0.96;0.85;1.71;17.64
51.667895;4.182641667;20250625;75810;-509;20.63;8.63;96.66;8.62;438.99;-0.67;0.96;170.21;0.87;1.1;1.73;16.73
51.66789333;4.182678333;20250625;75828;-602;20.62;8.62;96.31;8.59;449.37;-0.6;0.98;173.21;0.92;0.75;1.75;15.9
51.667895;4.182718333;20250625;75845;-701;20.62;8.62;96.61;8.62;457.57;-0.59;0.99;175.57;0.99;0.68;1.78;14.98
51.66790333;4.182765;20250625;75902;-806;20.6;8.6;96.79;8.64;466.43;-0.66;1.01;178.13;0.8;0.66;1.8;13.97
51.66791333;4.182796667;20250625;75918;-905;20.48;8.56;94.54;8.45;523.48;-0.72;1.1;194.53;0.75;0.36;1.97;12.9
51.66792833;4.182808333;20250625;75935;-1007;20.16;8.49;92.42;8.31;596.43;-0.85;1.23;215.39;0.97;0.41;2.16;11.89
51.66794667;4.182815;20250625;75953;-1100;20.11;8.32;83.88;7.53;833.55;-0.82;1.67;287.73;1.19;0.26;2.88;10.91
51.66797833;4.18279;20250625;80016;-1211;17.7;7.98;61.97;5.84;815.35;-0.77;1.64;282.48;1.21;0.34;2.69;9.69
51.668;4.182753333;20250625;80034;-1300;16.97;7.78;48.65;4.65;837.88;-0.72;1.68;288.98;1.37;0.39;2.71;8.66
51.66801667;4.182708333;20250625;80050;-1403;16.41;7.65;36.37;3.52;846.32;-0.7;1.7;291.42;1.7;0.41;2.7;7.53
51.66803833;4.182638333;20250625;80111;-1495;16.13;7.58;25.67;2.5;848.16;-0.78;1.7;291.95;1.82;0.39;2.68;6.51
51.66805667;4.182561667;20250625;80133;-1609;15.86;7.54;20.05;1.96;850.22;-0.64;1.7;292.55;1.71;0.36;2.67;5.16
51.668075;4.182501667;20250625;80152;-1702;15.54;7.51;12.58;1.24;849.23;-0.64;1.7;292.26;1.32;0.41;2.65;4.19
51.66809333;4.182451667;20250625;80212;-1782;15.36;7.49;6.56;0.65;849.77;-0.45;1.7;292.42;1.48;0.48;2.64;3.16
51.66810833;4.182441667;20250625;80229;-1891;15.16;7.48;3.75;0.37;851.53;-0.51;1.71;292.93;1.06;0.54;2.63;2.05
51.66812667;4.182435;20250625;80247;-1995;14.95;7.46;2.72;0.27;851.25;-0.45;1.71;292.84;0.79;0.5;2.62;1.08
