X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TURBID;CHLFRFU;GELBH;Echms
51.639235;4.262726667;20250625;90945;-100;20.59;8.55;96.96;8.67;259.14;-0.62;0.65;116.73;1.65;1.11;1.18;13.08
51.63923333;4.262741667;20250625;90948;-200;20.59;8.56;96.93;8.67;258.85;-0.73;0.65;116.64;1.68;1.15;1.18;11.89
51.63923333;4.26276;20250625;90951;-300;20.58;8.56;96.82;8.66;262.58;-0.69;0.65;117.74;1.77;0.89;1.19;10.88
51.63923333;4.262765;20250625;90954;-400;20.58;8.56;96.71;8.65;266.46;-0.71;0.66;118.88;1.63;0.9;1.2;9.96
51.63923167;4.262766667;20250625;90957;-500;20.6;8.57;96.66;8.64;284.31;-0.76;0.69;124.4;1.49;0.79;1.26;8.93
51.63923167;4.262766667;20250625;91000;-600;20.61;8.58;96.73;8.65;291.58;-0.78;0.71;127.4;1.21;0.75;1.29;7.84
51.63923;4.26277;20250625;91003;-700;20.61;8.59;96.66;8.64;294.17;-0.75;0.71;128.16;1.18;0.69;1.3;6.89
51.63922833;4.262776667;20250625;91006;-800;20.61;8.59;96.7;8.64;296.09;-0.76;0.72;128.72;1.23;0.7;1.3;5.78
51.63922667;4.262785;20250625;91010;-900;20.62;8.6;96.76;8.65;302.68;-0.72;0.73;130.65;1.12;0.58;1.32;4.82
51.639225;4.262796667;20250625;91013;-1000;20.63;8.59;96.52;8.62;310.45;-0.74;0.74;132.91;1.21;0.61;1.35;3.74
51.639225;4.2628;20250625;91016;-1100;20.62;8.59;96.29;8.6;312.68;-0.73;0.74;133.56;1.21;0.6;1.35;2.77
51.63922333;4.262811667;20250625;91022;-1200;20.62;8.59;95.93;8.57;312.67;-0.84;0.74;133.56;1.28;0.54;1.35;1.78
51.63922167;4.262816667;20250625;91025;-1300;20.62;8.58;95.69;8.55;312.97;-0.84;0.74;133.65;1.36;0.74;1.35;0.74
