# VERTIKAAL 8 Milieucontainer
* 08-07-2026 09:11:07
#X: 59116 - Y: 414877
#00 DONARLOCATIE: DREISR
#08 WAARNEMER(S): Damen
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU  TROEBHFNU  PHYCOUGL
  59116  414877 20260708 91117    1.05   17.32   22.59   8.06 6.93      96   45.75    4335   31.29   17687    1.80       0.90      0.12
  59116  414877 20260708 91149    1.96   16.59   22.59   8.06 6.93      96   45.75    4335   31.29   17688    1.86       0.89      0.22
  59116  414877 20260708 91209    3.07   15.50   22.57   8.06 6.94      96   45.74    4335   31.29   17688    1.61       0.88      0.05
  59116  414877 20260708 91226    4.03   14.46   22.53   8.06 6.92      95   45.70    4335   31.29   17689    2.19       0.94      0.19
  59116  414877 20260708 91243    5.03   13.52   22.54   8.06 6.91      95   45.70    4335   31.29   17689    2.08       1.06      0.05
  59116  414877 20260708 91259    6.06   12.63   22.54   8.06 6.89      95   45.70    4335   31.29   17686    2.39       1.09      0.28
  59116  414877 20260708 91317    7.04   11.74   22.51   8.05 6.78      93   45.68    4335   31.29   17687    2.10       0.87      0.28
  59116  414877 20260708 91337    7.99   10.67   22.51   8.05 6.71      92   45.67    4335   31.29   17687    2.05       1.00     -0.03
  59116  414877 20260708 91401    9.08    9.53   22.49   8.02 6.36      87   45.66    4336   31.29   17689    1.77       0.88      0.15
  59116  414877 20260708 91425    9.97    8.84   22.43   8.00 6.10      84   45.61    4336   31.29   17691    2.20       0.94      0.24
  59116  414877 20260708 91456   11.00    7.67   22.19   7.95 5.43      74   45.41    4338   31.31   17701    2.12       1.03      0.12
  59116  414877 20260708 91543   12.02    6.62   21.25   7.77 3.52      47   44.58    4342   31.35   17728    1.44       0.96      0.06
  59116  414877 20260708 91623   12.95    5.58   20.48   7.62 2.11      28   43.87    4343   31.35   17734    1.12       0.76      0.05
  59116  414877 20260708 91654   13.99    4.55   19.49   7.50 1.27      17   43.06    4353   31.44   17787    1.05       1.04      0.02
  59116  414877 20260708 91715   14.97    3.46   18.23   7.47 1.13      14   41.87    4349   31.40   17775    0.17       0.59     -0.12
  59116  414877 20260708 91727   15.06    3.41   18.13   7.47 1.18      15   41.76    4348   31.40   17770    0.23       0.48      0.01
  59116  414877 20260708 91758   16.02    2.33   17.86   7.47 1.25      16   41.53    4349   31.41   17777    0.16       0.50      0.06
  59116  414877 20260708 91819   16.99    1.35   17.58   7.47 1.23      15   41.27    4348   31.40   17777    0.17       0.58     -0.14
  59116  414877 20260708 91849   17.97    0.35   17.51   7.46 1.16      15   41.20    4348   31.40   17774    0.08       0.60     -0.04
