# VERTIKAAL 11 M.C.ECOS 8 VERTIKAAL
* 24-07-2024 11:22:49
#X: 48171 - Y: 418283
#00 DONARLOCATIE: GTS-02
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1022>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <3>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  48171  418283 20240724 112257    0.99   16.04   20.32   8.13 8.67     112   38.88    3861   27.50   15514    2.07    0.00
  48138  418294 20240724 112330    1.98   15.13   20.21   8.12 8.58     110   38.83    3866   27.54   15535    3.66    0.00
  48130  418297 20240724 112411    2.97   14.11   20.13   8.08 8.14     105   38.78    3868   27.56   15546    3.54    0.00
  48126  418299 20240724 112442    4.01   13.14   20.12   8.08 8.09     104   38.79    3870   27.57   15556    3.26    0.00
  48122  418301 20240724 112508    4.97   12.45   20.08   8.09 8.14     105   38.80    3874   27.61   15574    2.79    0.00
  48114  418304 20240724 112556    6.04   11.43   20.05   8.05 7.83     101   38.87    3883   27.68   15617    2.92    0.00
  48104  418308 20240724 112709    6.98   10.64   20.01   7.97 6.94      89   39.01    3900   27.81   15694    2.45    0.00
  48053  418292 20240724 112828    7.99   10.78   19.72   7.87 5.52      71   39.49    3972   28.39   16026    1.06    0.00
  48041  418292 20240724 112919    8.97    9.58   19.98   7.97 6.28      81   40.25    4027   28.82   16274    1.28    0.00
  48027  418291 20240724 112956    9.98    8.70   20.03   8.02 6.63      86   40.76    4073   29.19   16486    1.92    0.00
  48018  418290 20240724 113050   11.02    7.80   19.99   7.98 6.06      79   41.22    4123   29.59   16717    1.44    0.00
  48006  418290 20240724 113150   11.99    7.31   19.49   7.94 5.33      69   40.80    4124   29.60   16724    0.61    0.00
  47993  418291 20240724 113300   12.99    6.39   18.88   7.89 4.57      58   40.24    4122   29.58   16718    0.52    0.00
  47979  418287 20240724 113432   13.98    5.95   18.02   7.82 3.27      41   39.49    4120   29.57   16716    0.73    0.00
  47973  418282 20240724 113603   15.02    4.76   16.25   7.68 0.97      12   37.83    4105   29.46   16657    0.65    0.00
  47973  418278 20240724 113659   15.96    3.81   14.75   7.66 0.24       3   36.67    4117   29.56   16719    0.45    0.00
  47974  418277 20240724 113722   16.99    2.89   13.81   7.64 0.15       2   35.94    4124   29.62   16758    0.23    0.00
  47975  418276 20240724 113741   18.07    1.81   11.83   7.57 0.09       1   34.45    4144   29.78   16858    0.16    0.00
  47976  418275 20240724 113807   19.01    0.93   11.35   7.55 0.06       1   34.06    4145   29.79   16864    0.13    0.00
